
2 theta/deg	Intensity
   5.016711       449.0000    
   5.050134       417.0000    
   5.083556       428.0000    
   5.116979       437.0000    
   5.150402       412.0000    
   5.183824       447.0000    
   5.217247       396.0000    
   5.250669       389.0000    
   5.284091       402.0000    
   5.317514       430.0000    
   5.350936       405.0000    
   5.384359       407.0000    
   5.417782       405.0000    
   5.451204       449.0000    
   5.484627       438.0000    
   5.518049       415.0000    
   5.551472       410.0000    
   5.584894       390.0000    
   5.618317       451.0000    
   5.651740       393.0000    
   5.685162       429.0000    
   5.718585       415.0000    
   5.752007       421.0000    
   5.785429       417.0000    
   5.818852       402.0000    
   5.852275       414.0000    
   5.885697       420.0000    
   5.919120       380.0000    
   5.952542       393.0000    
   5.985965       430.0000    
   6.019387       400.0000    
   6.052810       385.0000    
   6.086232       374.0000    
   6.119655       363.0000    
   6.153078       384.0000    
   6.186500       399.0000    
   6.219923       403.0000    
   6.253345       423.0000    
   6.286767       384.0000    
   6.320190       366.0000    
   6.353613       368.0000    
   6.387035       378.0000    
   6.420458       398.0000    
   6.453880       413.0000    
   6.487303       424.0000    
   6.520725       411.0000    
   6.554148       386.0000    
   6.587570       398.0000    
   6.620993       399.0000    
   6.654416       395.0000    
   6.687838       392.0000    
   6.721261       393.0000    
   6.754683       400.0000    
   6.788106       399.0000    
   6.821528       390.0000    
   6.854951       382.0000    
   6.888373       410.0000    
   6.921796       418.0000    
   6.955218       365.0000    
   6.988641       405.0000    
   7.022063       394.0000    
   7.055486       363.0000    
   7.088908       392.0000    
   7.122331       395.0000    
   7.155754       377.0000    
   7.189176       429.0000    
   7.222599       369.0000    
   7.256021       346.0000    
   7.289444       353.0000    
   7.322866       402.0000    
   7.356289       397.0000    
   7.389711       397.0000    
   7.423134       376.0000    
   7.456556       386.0000    
   7.489979       387.0000    
   7.523401       360.0000    
   7.556824       405.0000    
   7.590247       407.0000    
   7.623669       357.0000    
   7.657092       397.0000    
   7.690514       367.0000    
   7.723937       392.0000    
   7.757360       369.0000    
   7.790782       391.0000    
   7.824204       407.0000    
   7.857627       431.0000    
   7.891049       442.0000    
   7.924472       402.0000    
   7.957894       416.0000    
   7.991317       424.0000    
   8.024739       417.0000    
   8.058163       430.0000    
   8.091585       428.0000    
   8.125008       397.0000    
   8.158430       382.0000    
   8.191853       396.0000    
   8.225275       397.0000    
   8.258698       376.0000    
   8.292120       380.0000    
   8.325542       443.0000    
   8.358965       402.0000    
   8.392387       396.0000    
   8.425810       391.0000    
   8.459232       403.0000    
   8.492655       399.0000    
   8.526077       389.0000    
   8.559500       401.0000    
   8.592922       399.0000    
   8.626345       402.0000    
   8.659768       431.0000    
   8.693191       425.0000    
   8.726613       396.0000    
   8.760036       396.0000    
   8.793458       406.0000    
   8.826880       364.0000    
   8.860303       446.0000    
   8.893725       396.0000    
   8.927148       410.0000    
   8.960570       398.0000    
   8.993993       399.0000    
   9.027416       414.0000    
   9.060839       399.0000    
   9.094261       422.0000    
   9.127684       394.0000    
   9.161106       395.0000    
   9.194529       387.0000    
   9.227951       437.0000    
   9.261374       372.0000    
   9.294796       375.0000    
   9.328218       385.0000    
   9.361641       448.0000    
   9.395063       431.0000    
   9.428486       398.0000    
   9.461908       420.0000    
   9.495331       402.0000    
   9.528753       382.0000    
   9.562176       411.0000    
   9.595598       421.0000    
   9.629021       394.0000    
   9.662444       445.0000    
   9.695867       406.0000    
   9.729289       379.0000    
   9.762712       404.0000    
   9.796134       411.0000    
   9.829556       425.0000    
   9.862979       414.0000    
   9.896402       394.0000    
   9.929825       421.0000    
   9.963247       422.0000    
   9.996670       401.0000    
   10.03009       404.0000    
   10.06351       413.0000    
   10.09694       399.0000    
   10.13036       399.0000    
   10.16378       418.0000    
   10.19720       406.0000    
   10.23063       433.0000    
   10.26405       402.0000    
   10.29747       434.0000    
   10.33089       429.0000    
   10.36432       396.0000    
   10.39774       426.0000    
   10.43116       412.0000    
   10.46458       428.0000    
   10.49801       401.0000    
   10.53143       399.0000    
   10.56485       399.0000    
   10.59827       432.0000    
   10.63170       444.0000    
   10.66512       431.0000    
   10.69854       414.0000    
   10.73197       388.0000    
   10.76539       425.0000    
   10.79881       452.0000    
